Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Shine, Keith P; Gohar, Laila K; Hurley, Michael D; Marston, George; Martin, Damian; Simmonds, Peter G; Wallington, Timothy J; Watkins, Matt; ",Perfluorodecalin: Global warming potential and first detection in the atmosphere,Atmospheric Environment,39,9,1759-1763,2005,Elsevier
"Watkins, Mathew B; Shluger, Alexander L; ",Manipulation of defects on oxide surfaces via barrier reduction induced by atomic force microscope tips,Physical Review B,73,24,245435,2006,APS
"Watkins, Matthew B; Foster, Adam S; Shluger, Alexander L; ",Hydrogen cycle on CeO2 (111) surfaces: Density functional theory calculations,The Journal of Physical Chemistry C,111,42,15337-15341,2007,ACS Publications
"Trevethan, T; Watkins, Matthew; Kantorovich, LN; Shluger, AL; ",Controlled manipulation of atoms in insulating surfaces with the virtual atomic force microscope,Physical review letters,98,2,028101,2007,American Physical Society
"Trevethan, T; Watkins, Matthew; Kantorovich, LN; Shluger, AL; Polesel-Maris, J; Gauthier, S; ",Modelling atomic scale manipulation with the non-contact atomic force microscope,Nanotechnology,17,23,5866,2006,IOP Publishing
"Davies, G; Campbell, B; Mainwood, A; Newton, M; Watkins, M; Kanda, H; Anthony, TR; ","Interstitials, vacancies and impurities in diamond",physica status solidi (a),186,2,187-198,2001,Wiley Online Library
"Watkins, MB; Shevlin, SA; Sokol, AA; Slater, B; Catlow, CRA; Woodley, SM; ",Bubbles and microporous frameworks of silicon carbide,Physical Chemistry Chemical Physics,11,17,3186-3200,2009,Royal Society of Chemistry
"Sushko, ML; Gal, AY; Watkins, Matthew; Shluger, AL; ",Modelling of non-contact atomic force microscopy imaging of individual molecules on oxide surfaces,Nanotechnology,17,8,2062,2006,IOP Publishing
"Watkins, Matthew; Trevethan, T; Shluger, AL; Kantorovich, LN; ",Dynamical processes at oxide surfaces studied with the virtual atomic force microscope,Physical Review B,76,24,245421,2007,American Physical Society
"Smith, Alexander; Mainwood, Alison; Watkins, Matthew; ",The kinetics of the capture of nitrogen by nickel defects in diamond,Diamond and related materials,11,3,312-315,2002,Elsevier
